2024-12-16 21:31:44 | qwert | Logged in
2024-12-16 21:31:52 | qwert | Predicted AQI: Good
2024-12-16 21:32:08 | qwert | Logged out
2024-12-16 21:43:25 | admin | Logged in
2024-12-16 21:43:44 | admin | Predicted AQI: Hazardous
2024-12-16 21:51:12 | admin | Logged in
2024-12-16 21:51:31 | admin | Logged out
2024-12-16 21:51:55 | qwe | Logged in
2024-12-16 21:56:21 | admin | Logged in
2024-12-16 21:57:16 | admin | Predicted AQI: Moderate
2024-12-16 21:59:48 | 123456 | Logged in
2024-12-16 22:00:01 | 123456 | Logged out
2024-12-16 22:04:10 | admin | Logged in
2024-12-16 22:05:54 | qwert | Logged in
2024-12-16 22:07:03 | qwertyuio | Logged in
2024-12-17 20:41:42 | qweryuio | Logged in
2024-12-17 20:42:02 | qweryuio | Predicted AQI: Good
2024-12-17 20:42:08 | qweryuio | Predicted AQI: Hazardous
2024-12-17 20:42:52 | qweryuio | Logged out
2024-12-17 20:56:36 | 1234 | Logged in
2024-12-17 20:56:56 | 1234 | Predicted AQI: Good
2024-12-17 20:58:15 | 1234 | Logged in
2024-12-17 20:59:57 | qwert | Logged in
2024-12-17 21:00:02 | qwert | Predicted AQI: Good
2024-12-17 21:02:18 | admin | Logged in
2024-12-17 21:08:43 | admin | Logged in
2024-12-17 21:09:36 | admin | Predicted AQI: Good
2024-12-17 21:11:41 | admin | Logged in
2024-12-17 21:11:48 | admin | Predicted AQI: Good
